modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,4,14,0.82,1.0,0.1434530968762498,1.0,80
gene,4,14,0.88,1.0,0.296704287819338,1.0,80
gene,4,14,0.93,1.0,0.3114019009299404,1.0,80
gene,4,14,0.97,1.0,0.3723942930985506,1.0,80
gene,4,14,1.0,1.0,0.4440542088393496,1.0,80
gene,4,14,1.0,1.3,0.455231231737244,1.0,80
gene,4,14,1.0,1.7,0.4333608334641502,1.0,80
gene,4,15,0.5,1.0,0.0,0.125,80
gene,4,15,0.6,1.0,0.0222126778771333,0.825,80
gene,4,15,0.68,1.0,0.0765169516028202,1.0,80
gene,4,15,0.75,1.0,0.0940203996076575,1.0,80
gene,4,15,0.82,1.0,0.1313403284615132,1.0,80
gene,4,15,0.88,1.0,0.2539069724872848,1.0,80
gene,4,15,0.93,1.0,0.2158184584769488,1.0,80
gene,4,15,0.97,1.0,0.372146943874675,1.0,80
gene,4,15,1.0,1.0,0.464908757850572,1.0,80
gene,4,15,1.0,1.3,0.3558251332306062,1.0,80
gene,4,15,1.0,1.7,0.3186301867296052,1.0,80
gene,4,16,0.5,1.0,0.0,0.1,80
gene,4,16,0.6,1.0,0.0199845979884626,0.8,80
gene,4,16,0.68,1.0,0.0717232250704411,1.0,80
gene,4,16,0.75,1.0,0.0642793232868872,1.0,80
gene,4,16,0.82,1.0,0.1241360000766436,1.0,80
gene,4,16,0.88,1.0,0.2700218422375182,1.0,80
gene,4,16,0.93,1.0,0.3048526014369477,1.0,80
gene,4,16,0.97,1.0,0.3591371888185828,1.0,80
gene,4,16,1.0,1.0,0.4456789910737032,1.0,80
gene,4,16,1.0,1.3,0.4162332331947221,1.0,80
gene,4,16,1.0,1.7,0.4570562095480576,1.0,80
gene,4,17,0.5,1.0,0.0,0.075,80
gene,4,17,0.6,1.0,0.0297797955194287,0.925,80
gene,4,17,0.68,1.0,0.0908638783386411,1.0,80
gene,4,17,0.75,1.0,0.0862837794939985,1.0,80
gene,4,17,0.82,1.0,0.1564315974311862,1.0,80
gene,4,17,0.88,1.0,0.2809352970787642,1.0,80
gene,4,17,0.93,1.0,0.3047444617200264,1.0,80
gene,4,17,0.97,1.0,0.3922806139100107,1.0,80
gene,4,17,1.0,1.0,0.4498218414304252,1.0,80
gene,4,17,1.0,1.3,0.4585353726439913,1.0,80
gene,4,17,1.0,1.7,0.4783565247352447,1.0,80
