workflow,pilot_n,pilot_source,eval_n,effect_parameter,true_omega2,power,pool_size_per_group,scenario_index
gene,7,real,30,"pi=0.5,scale=1",0.0,0.04,180,0
gene,7,real,30,"pi=0.656,scale=1",0.03538862714133928,0.43,180,1
gene,7,real,30,"pi=0.7,scale=1",0.06460978566417215,0.73,180,2
gene,7,real,30,"pi=0.688,scale=1",0.08640283304828061,0.85,180,3
gene,7,real,30,"pi=0.75,scale=1",0.12052604990777044,0.95,180,4
gene,7,real,30,"pi=0.7,scale=1.47",0.15438536924214075,0.99,180,5
gene,7,real,30,"pi=0.844,scale=1",0.2045443773031634,1.0,180,6
gene,7,real,30,"pi=0.875,scale=1",0.24168243842593853,1.0,180,7
gene,7,real,30,"pi=0.775,scale=1.7",0.2872998271270415,1.0,180,8
gene,7,real,30,"pi=0.925,scale=1.23",0.32697604589014245,1.0,180,9
gene,7,real,30,"pi=0.925,scale=1.47",0.3475779115987451,1.0,180,10
gene,7,real,30,"pi=1,scale=1.28",0.4057348905333319,1.0,180,11
gene,7,real,30,"pi=1,scale=1.47",0.4447826218971382,1.0,180,12
gene,7,real,40,"pi=0.5,scale=1",0.0,0.04,180,0
gene,7,real,40,"pi=0.656,scale=1",0.03538862714133928,0.58,180,1
gene,7,real,40,"pi=0.7,scale=1",0.06460978566417215,0.89,180,2
gene,7,real,40,"pi=0.688,scale=1",0.08640283304828061,0.93,180,3
gene,7,real,40,"pi=0.75,scale=1",0.12052604990777044,0.97,180,4
gene,7,real,40,"pi=0.7,scale=1.47",0.15438536924214075,1.0,180,5
gene,7,real,40,"pi=0.844,scale=1",0.2045443773031634,1.0,180,6
gene,7,real,40,"pi=0.875,scale=1",0.24168243842593853,1.0,180,7
gene,7,real,40,"pi=0.775,scale=1.7",0.2872998271270415,1.0,180,8
gene,7,real,40,"pi=0.925,scale=1.23",0.32697604589014245,1.0,180,9
gene,7,real,40,"pi=0.925,scale=1.47",0.3475779115987451,1.0,180,10
gene,7,real,40,"pi=1,scale=1.28",0.4057348905333319,1.0,180,11
gene,7,real,40,"pi=1,scale=1.47",0.4447826218971382,1.0,180,12
gene,7,real,50,"pi=0.5,scale=1",0.0,0.09,180,0
gene,7,real,50,"pi=0.656,scale=1",0.03538862714133928,0.72,180,1
gene,7,real,50,"pi=0.7,scale=1",0.06460978566417215,0.92,180,2
gene,7,real,50,"pi=0.688,scale=1",0.08640283304828061,0.99,180,3
gene,7,real,50,"pi=0.75,scale=1",0.12052604990777044,1.0,180,4
gene,7,real,50,"pi=0.7,scale=1.47",0.15438536924214075,1.0,180,5
gene,7,real,50,"pi=0.844,scale=1",0.2045443773031634,1.0,180,6
gene,7,real,50,"pi=0.875,scale=1",0.24168243842593853,1.0,180,7
gene,7,real,50,"pi=0.775,scale=1.7",0.2872998271270415,1.0,180,8
gene,7,real,50,"pi=0.925,scale=1.23",0.32697604589014245,1.0,180,9
gene,7,real,50,"pi=0.925,scale=1.47",0.3475779115987451,1.0,180,10
gene,7,real,50,"pi=1,scale=1.28",0.4057348905333319,1.0,180,11
gene,7,real,50,"pi=1,scale=1.47",0.4447826218971382,1.0,180,12
gene,7,real,60,"pi=0.5,scale=1",0.0,0.06,180,0
gene,7,real,60,"pi=0.656,scale=1",0.03538862714133928,0.7,180,1
gene,7,real,60,"pi=0.7,scale=1",0.06460978566417215,0.96,180,2
gene,7,real,60,"pi=0.688,scale=1",0.08640283304828061,1.0,180,3
gene,7,real,60,"pi=0.75,scale=1",0.12052604990777044,1.0,180,4
gene,7,real,60,"pi=0.7,scale=1.47",0.15438536924214075,1.0,180,5
gene,7,real,60,"pi=0.844,scale=1",0.2045443773031634,1.0,180,6
gene,7,real,60,"pi=0.875,scale=1",0.24168243842593853,1.0,180,7
gene,7,real,60,"pi=0.775,scale=1.7",0.2872998271270415,1.0,180,8
gene,7,real,60,"pi=0.925,scale=1.23",0.32697604589014245,1.0,180,9
gene,7,real,60,"pi=0.925,scale=1.47",0.3475779115987451,1.0,180,10
gene,7,real,60,"pi=1,scale=1.28",0.4057348905333319,1.0,180,11
gene,7,real,60,"pi=1,scale=1.47",0.4447826218971382,1.0,180,12
gene,7,real,70,"pi=0.5,scale=1",0.0,0.07,180,0
gene,7,real,70,"pi=0.656,scale=1",0.03538862714133928,0.89,180,1
gene,7,real,70,"pi=0.7,scale=1",0.06460978566417215,0.99,180,2
gene,7,real,70,"pi=0.688,scale=1",0.08640283304828061,1.0,180,3
gene,7,real,70,"pi=0.75,scale=1",0.12052604990777044,1.0,180,4
gene,7,real,70,"pi=0.7,scale=1.47",0.15438536924214075,1.0,180,5
gene,7,real,70,"pi=0.844,scale=1",0.2045443773031634,1.0,180,6
gene,7,real,70,"pi=0.875,scale=1",0.24168243842593853,1.0,180,7
gene,7,real,70,"pi=0.775,scale=1.7",0.2872998271270415,1.0,180,8
