modality,split,metric,value
protein,50,prevalence,0.19186083830797873
protein,50,distance,0.2696969696969697
protein,50,dispersion,0.18546365914786966
protein,50,omega2,0.03604669879785871
protein,50,deff,0.3123795569684552
protein,50,tf_topology,0.17293233082706766
protein,50,source_r2,0.013913408868960192
protein,51,abundance,0.07644906605045254
protein,51,prevalence,0.1646447140381282
protein,51,distance,0.3434343434343434
protein,51,dispersion,0.18295739348370926
protein,51,omega2,0.9532966793466197
protein,51,deff,0.12461201707049376
protein,51,tf_topology,0.18546365914786966
protein,51,source_r2,0.01839665856311347
protein,52,abundance,0.16894537518454322
protein,52,prevalence,0.3199178381154118
protein,52,distance,0.31313131313131315
protein,52,dispersion,0.37092731829573933
protein,52,omega2,1.4318384573628298
protein,52,deff,0.42267474799410437
protein,52,tf_topology,0.5635241345617518
protein,52,source_r2,0.02405846246964816
protein,53,abundance,0.07689838885679434
protein,53,prevalence,0.16040824186404767
protein,53,distance,0.1482716049382716
protein,53,dispersion,0.19298245614035087
protein,53,omega2,0.7080004845188248
protein,53,deff,0.03822227948502064
protein,53,tf_topology,0.19047619047619047
protein,53,source_r2,0.01430375399224258
protein,54,abundance,0.16066499775338594
protein,54,prevalence,0.30926246870787605
protein,54,distance,0.21212121212121213
protein,54,dispersion,0.16040100250626566
protein,54,omega2,0.024094710911688612
protein,54,deff,0.7398866920301982
protein,54,tf_topology,0.5688585711983986
protein,54,source_r2,0.025723548154426134
protein,55,abundance,0.05655048462674117
protein,55,prevalence,0.21451954554207586
protein,55,distance,0.198989898989899
protein,55,dispersion,0.2982456140350877
protein,55,omega2,0.2693611519845036
protein,55,deff,0.2602089921360419
protein,55,tf_topology,0.20802005012531327
protein,55,source_r2,0.018676137236577576
protein,56,abundance,0.13017523589447333
protein,56,prevalence,0.1342191411515502
protein,56,distance,0.29555555555555557
protein,56,dispersion,0.3308270676691729
protein,56,omega2,0.06851903958477358
protein,56,deff,0.5929105560055431
protein,56,tf_topology,0.18546365914786966
protein,56,source_r2,0.012539655768710203
protein,57,abundance,0.05449643751203548
protein,57,prevalence,0.20739456961294045
protein,57,distance,0.1808080808080808
protein,57,dispersion,0.13784461152882205
