pilot_n,strength,group,edge_mean_ratio,taxon_degree_mean_ratio,function_degree_mean_ratio,connectance_ratio,edge_count_ks,taxon_degree_ks,function_degree_ks,taxon_prevalence_rank_corr,function_prevalence_rank_corr
10,0.428,Control,0.8821740335319384,0.8943030848907904,0.9019537275064268,0.8821740335319385,0.105,0.13,0.13,0.9709389653283831,0.9861270796303011
10,0.6728,CD,1.1351519776166858,1.1129472874182378,1.0948347107438017,1.1351519776166858,0.06500000000000006,0.08000000000000007,0.07499999999999996,0.9419928870669658,0.9680788076819141
10,0.6728,Control,0.9197415823749481,0.9287435262328304,0.9340102827763496,0.9197415823749481,0.07,0.08500000000000002,0.07999999999999999,0.974628431987842,0.9893493780443459
10,0.7206,CD,1.1224278265293146,1.1046556367833784,1.086797520661157,1.1224278265293146,0.05999999999999994,0.07499999999999996,0.06999999999999995,0.9440401529093121,0.9689910585019561
10,0.7206,Control,0.9417417209366772,0.9453163701868947,0.9529177377892031,0.9417417209366773,0.05499999999999999,0.07,0.06,0.9749207196445506,0.9897919529574891
10,0.7653,CD,1.0923438891008521,1.0766256252404771,1.0679338842975206,1.0923438891008521,0.050000000000000044,0.06000000000000005,0.05999999999999994,0.9440175267793046,0.9690226719093388
10,0.7653,Control,0.956955798808369,0.9616415221796892,0.9643444730077121,0.956955798808369,0.04,0.04999999999999999,0.04999999999999999,0.974993068588576,0.9897497136408334
10,0.8328,CD,1.0570901691466363,1.0480184686417853,1.03948347107438,1.0570901691466363,0.025000000000000022,0.030000000000000027,0.025000000000000022,0.9465413023913923,0.9702035852997831
10,0.8328,Control,0.9646494388249964,0.9680815131727089,0.9706169665809768,0.9646494388249965,0.030000000000000027,0.03999999999999998,0.04000000000000001,0.9752576178581562,0.9899473101865218
10,0.8709,CD,1.0464517359786343,1.0381108118507119,1.0348553719008264,1.046451735978634,0.025000000000000022,0.030000000000000027,0.030000000000000027,0.946572804458065,0.9702974350458728
10,0.8709,Control,0.9750831370375501,0.9774487727989191,0.9772879177377892,0.9750831370375501,0.03,0.030000000000000027,0.03,0.9751384001204212,0.9899208578643359
10,0.8902,CD,1.0418796896858706,1.0366871873797616,1.0296487603305786,1.0418796896858706,0.020000000000000018,0.029999999999999916,0.025000000000000022,0.9467007270074013,0.9703494281636299
10,0.8902,Control,0.9612373562422059,0.9652443143436163,0.9665295629820052,0.961237356242206,0.03999999999999998,0.044999999999999984,0.04000000000000001,0.9752040733303251,0.9899595764720726
10,0.9094,CD,1.0490461655856544,1.0413235859946133,1.036797520661157,1.0490461655856544,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.9481981864257433,0.9711058796956031
10,0.9094,Control,0.9825135097686019,0.9840013510470614,0.9863624678663239,0.9825135097686019,0.020000000000000018,0.025000000000000022,0.015000000000000013,0.9778823406231115,0.9915205692284561
10,1.0,CD,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
10,1.0,Control,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
17,0.0,CD,1.785651939073134,1.6584594594594595,1.5882493188010898,1.785651939073134,0.3270588235294118,0.3270588235294118,0.3270588235294118,0.8398829584662714,0.9092616115372902
17,0.0,Control,0.6881534342454779,0.7091766570208076,0.7247958542713568,0.6881534342454779,0.33,0.33,0.33,0.9583947842449214,0.9717472636819372
17,0.2364,CD,1.6331808361240145,1.526972972972973,1.4710269073569482,1.6331808361240145,0.2620588235294118,0.2620588235294118,0.2620588235294118,0.8748366563853585,0.9317209984936214
17,0.2364,Control,0.7688383859678711,0.7852397684993799,0.7967014761306533,0.7688383859678711,0.24,0.24,0.24,0.9752643773567241,0.9846005091916431
17,0.3065,CD,1.5410829642432753,1.4522162162162164,1.4041791553133514,1.5410829642432753,0.2220588235294118,0.2220588235294118,0.2220588235294118,0.8924527468244025,0.942534064622129
17,0.3065,Control,0.7939868027153518,0.8077986771393137,0.8148947864321608,0.7939868027153517,0.225,0.225,0.225,0.9763432304161518,0.9852969816138843
