pilot_n,strength,group,kind,edge_mean,taxon_degree_mean,function_degree_mean,connectance
19,0.15,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.15,CD,synthetic,945.4866666666667,302.8466666666667,268.9166666666667,0.06068981748935533
19,0.15,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.15,Control,synthetic,1065.2333333333333,331.84,297.36333333333334,0.06837623296317692
19,0.3,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.3,CD,synthetic,911.4,289.26,257.6766666666667,0.05850182938571153
19,0.3,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.3,Control,synthetic,1121.7833333333333,347.32,309.85,0.0720061193486959
19,0.45,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.45,CD,synthetic,790.8466666666667,255.93333333333334,236.3,0.050763634807540065
19,0.45,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.45,Control,synthetic,1218.0666666666666,370.63666666666666,332.18666666666667,0.07818644756830775
19,0.6,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.6,CD,synthetic,817.5566666666666,262.4166666666667,241.52333333333334,0.05247812225859597
19,0.6,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.6,Control,synthetic,1302.4133333333334,394.31,350.27,0.08360057342148619
19,0.75,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.75,CD,synthetic,691.36,231.26,215.88,0.04437768791321651
19,0.75,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.75,Control,synthetic,1369.8966666666668,416.3,367.51,0.08793225923786294
19,0.9,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.9,CD,synthetic,604.81,206.6,189.88333333333333,0.03882213235766095
19,0.9,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.9,Control,synthetic,1398.9266666666667,421.98,376.79333333333335,0.08979566510473501
19,1.0,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,1.0,CD,synthetic,647.29,219.39333333333335,203.40333333333334,0.04154887990243276
19,1.0,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,1.0,Control,synthetic,1498.03,450.36333333333334,395.63666666666666,0.09615700622633032
