scale,true_omega2,power,mode,modality,combo_index,sigma,nni,eval_n
1.1757830614787823,0.159459499651274,0.9375,enhancement,protein,2,0.5,0.25,7
1.2778438922389415,0.17592808641614313,0.8875,enhancement,protein,2,0.5,0.25,7
1.524720766645272,0.25032621796594895,0.975,enhancement,protein,2,0.5,0.25,7
1.6260919971975918,0.2585397975421255,0.9875,enhancement,protein,2,0.5,0.25,7
0.0,0.0001867588845922705,0.05,dilution,protein,3,0.75,0.5,7
0.3564686288628942,0.01767819525499369,0.1,dilution,protein,3,0.75,0.5,7
0.43939860220371374,0.021657341206519277,0.175,dilution,protein,3,0.75,0.5,7
0.5223285755445332,0.03871775402819093,0.2625,dilution,protein,3,0.75,0.5,7
0.5596687729650068,0.04598743442866564,0.2625,dilution,protein,3,0.75,0.5,7
0.5970089703854806,0.04423869837307304,0.35,dilution,protein,3,0.75,0.5,7
0.6343491678059543,0.050315958330644985,0.35,dilution,protein,3,0.75,0.5,7
0.671689365226428,0.053137637690761956,0.3125,dilution,protein,3,0.75,0.5,7
0.7344729994938756,0.07275077852858403,0.4875,dilution,protein,3,0.75,0.5,7
0.7419410389779704,0.0723278704762917,0.525,dilution,protein,3,0.75,0.5,7
0.7494090784620651,0.07315533500176735,0.5625,dilution,protein,3,0.75,0.5,7
0.7568771179461599,0.06914563291015938,0.525,dilution,protein,3,0.75,0.5,7
0.7643451574302546,0.06874168262439918,0.5125,dilution,protein,3,0.75,0.5,7
0.7718131969143492,0.07384500528220504,0.4375,dilution,protein,3,0.75,0.5,7
0.960931165787733,0.11570544778674895,0.7125,dilution,protein,3,0.75,0.5,7
0.9671545320244785,0.1146701013720959,0.725,dilution,protein,3,0.75,0.5,7
0.9733778982612242,0.11034961821898509,0.75,dilution,protein,3,0.75,0.5,7
0.9796012644979698,0.11774589009449209,0.75,dilution,protein,3,0.75,0.5,7
0.9858246307347155,0.11323939622620076,0.6875,dilution,protein,3,0.75,0.5,7
0.9920479969714611,0.11800341620372727,0.6,dilution,protein,3,0.75,0.5,7
0.9982713632082068,0.12942150391169566,0.75,dilution,protein,3,0.75,0.5,7
1.376811232794443,0.2017279346501685,0.925,enhancement,protein,3,0.75,0.5,7
1.7780012608934859,0.30178210755903456,1.0,enhancement,protein,3,0.75,0.5,7
0.0,0.0,0.0625,dilution,protein,4,1.0,1.0,7
0.11135918515046928,0.0027610825773167784,0.0625,dilution,protein,4,1.0,1.0,7
0.34927896802750363,0.013397110948722904,0.15,dilution,protein,4,1.0,1.0,7
0.36448038060359944,0.01729076900736354,0.0875,dilution,protein,4,1.0,1.0,7
0.536645216058452,0.039588003139864276,0.35,dilution,protein,4,1.0,1.0,7
0.5670480412106436,0.04258641222326645,0.325,dilution,protein,4,1.0,1.0,7
0.5974508663628352,0.053042214813458624,0.4,dilution,protein,4,1.0,1.0,7
0.6278536915150268,0.048139718571229166,0.275,dilution,protein,4,1.0,1.0,7
0.751468279052426,0.0756088303551555,0.475,dilution,protein,4,1.0,1.0,7
0.7616025541031566,0.07054728943511437,0.575,dilution,protein,4,1.0,1.0,7
0.7717368291538871,0.07308695627676241,0.4375,dilution,protein,4,1.0,1.0,7
0.8201692366637737,0.08894682259111399,0.6,dilution,protein,4,1.0,1.0,7
0.8353706492398695,0.08629714267876382,0.6125,dilution,protein,4,1.0,1.0,7
0.8505720618159653,0.08849881515025794,0.675,dilution,protein,4,1.0,1.0,7
0.8777931959638577,0.09735026599333745,0.6625,dilution,protein,4,1.0,1.0,7
0.933767389558009,0.1082729204079577,0.775,dilution,protein,4,1.0,1.0,7
0.9439016646087396,0.10738778589720493,0.75,dilution,protein,4,1.0,1.0,7
0.9540359396594701,0.10787005870591151,0.7375,dilution,protein,4,1.0,1.0,7
0.9641702147102006,0.11261928292280693,0.75,dilution,protein,4,1.0,1.0,7
1.1040467784917953,0.14753416397820174,0.8875,enhancement,protein,4,1.0,1.0,7
1.1611404559578298,0.15563298777400467,0.9125,enhancement,protein,4,1.0,1.0,7
1.1763418685339255,0.15749145370415102,0.925,enhancement,protein,4,1.0,1.0,7
1.4476694069561005,0.22272414819932193,0.9625,enhancement,protein,4,1.0,1.0,7
