modality,split,metric,value
protein,61,prevalence,0.4856793395168688
protein,61,distance,0.3229166666666667
protein,61,dispersion,0.3591331269349845
protein,61,omega2,39.86313713864835
protein,61,deff,0.38321851886652153
protein,61,tf_topology,0.7800023775649467
protein,61,source_r2,0.058225861176994444
protein,62,abundance,0.16654775252267862
protein,62,prevalence,0.45785342982366733
protein,62,distance,0.22357253086419754
protein,62,dispersion,0.30959752321981426
protein,62,omega2,3.6587893398121043
protein,62,deff,0.03962670748704283
protein,62,tf_topology,0.46711949329173563
protein,62,source_r2,0.0184815263186166
protein,63,abundance,0.10080521863214759
protein,63,prevalence,0.3694832331056977
protein,63,distance,0.24444444444444444
protein,63,dispersion,0.5727554179566563
protein,63,omega2,37.03706839708494
protein,63,deff,0.0250059730047168
protein,63,tf_topology,0.2786377708978328
protein,63,source_r2,0.018286557195187295
protein,64,abundance,0.10824584649882785
protein,64,prevalence,0.3483844664152482
protein,64,distance,0.1638888888888889
protein,64,dispersion,0.33746130030959753
protein,64,omega2,1.6446923045396915
protein,64,deff,0.26244350838193936
protein,64,tf_topology,0.20123839009287925
protein,64,source_r2,0.021157911778856512
protein,65,abundance,0.04128019569870554
protein,65,prevalence,0.30200795025991234
protein,65,distance,0.24722222222222223
protein,65,dispersion,0.4086687306501548
protein,65,omega2,36.402368056818325
protein,65,deff,0.26142869195762114
protein,65,tf_topology,0.30340557275541796
protein,65,source_r2,0.02322531469722613
protein,66,abundance,0.07624095403118948
protein,66,prevalence,0.3206604831311793
protein,66,distance,0.16666666666666666
protein,66,dispersion,0.25386996904024767
protein,66,omega2,1.6093312618582694
protein,66,deff,0.14692879405288944
protein,66,tf_topology,0.17956656346749225
protein,66,source_r2,0.015375752817272026
protein,67,abundance,0.08388543471613495
protein,67,prevalence,0.4131077362144532
protein,67,distance,0.33611111111111114
protein,67,dispersion,0.3684210526315789
protein,67,omega2,37.234861390326245
protein,67,deff,0.15637521315859754
protein,67,tf_topology,0.43309213510732397
protein,67,source_r2,0.045445559531348996
protein,68,abundance,0.10060136581388238
protein,68,prevalence,0.24798695341963103
protein,68,distance,0.24459876543209877
protein,68,dispersion,0.34365325077399383
protein,68,omega2,3.2814586200479487
protein,68,deff,0.20109996819180476
protein,68,tf_topology,0.3580087014398453
protein,68,source_r2,0.02024277971043377
protein,69,abundance,0.05952502293344206
protein,69,prevalence,0.3099582101722556
protein,69,distance,0.175
protein,69,dispersion,0.3498452012383901
protein,69,omega2,0.8148843164508848
protein,69,deff,0.19486731954083553
protein,69,tf_topology,0.19195046439628483
protein,69,source_r2,0.012611130278951463
protein,70,abundance,0.06441749057180715
protein,70,prevalence,0.32371827540515746
protein,70,distance,0.16512345679012347
protein,70,dispersion,0.20743034055727555
protein,70,omega2,0.3827161039276361
protein,70,deff,0.43610851468693973
protein,70,tf_topology,0.13622291021671826
protein,70,source_r2,0.010646640638438041
protein,71,abundance,0.08490469880746102
protein,71,prevalence,0.38467026806645604
protein,71,distance,0.275
protein,71,dispersion,0.33126934984520123
protein,71,omega2,39.86313713864835
protein,71,deff,0.10908997324005819
protein,71,tf_topology,0.18885448916408668
protein,71,source_r2,0.016517801132817832
protein,72,abundance,0.08245846498827847
protein,72,prevalence,0.3927224543879319
protein,72,distance,0.15
protein,72,dispersion,0.3188854489164087
protein,72,omega2,7.614531479612954
protein,72,deff,0.10484175270829316
protein,72,tf_topology,0.21113640484656446
protein,72,source_r2,0.015505202945562438
protein,73,abundance,0.27917643461420855
protein,73,prevalence,0.27754561206808687
protein,73,distance,0.13599537037037038
protein,73,dispersion,0.2786377708978328
protein,73,omega2,0.7413725640596107
protein,73,deff,0.14019361636664007
protein,73,tf_topology,0.4706941178975738
protein,73,source_r2,0.021769558576215414
protein,74,abundance,0.11915197227601672
protein,74,prevalence,0.2912037508918561
protein,74,distance,0.21944444444444444
protein,74,dispersion,0.30340557275541796
protein,74,omega2,36.56826567278086
protein,74,deff,0.09168756861360544
protein,74,tf_topology,0.23798940989449502
