modality,kind,distance
protein,within_syn,1.395110658837284
protein,within_syn,1.3968008447378535
protein,within_syn,1.1795066843429147
protein,within_syn,1.5336202852644554
protein,within_syn,1.7150847494326569
protein,within_syn,1.697090537265766
protein,within_syn,1.689757800567123
protein,within_syn,1.7931234557711129
protein,within_syn,1.289551669611746
protein,within_syn,1.262217460045599
protein,within_syn,0.9195794291126237
protein,within_syn,1.77366911904825
protein,within_syn,1.1411369034404035
protein,within_syn,1.7343075795206246
protein,within_syn,1.0587590935539821
protein,within_syn,1.650949331767747
protein,within_syn,1.1585337069049872
protein,within_syn,1.5311329687431892
protein,within_syn,1.709733473636483
protein,within_syn,1.0587590935539821
protein,within_syn,1.1411369034404035
protein,within_syn,1.262217460045599
protein,within_syn,1.7150847494326569
protein,within_syn,1.5311329687431892
protein,within_syn,1.1795066843429147
protein,within_syn,1.289551669611746
protein,within_syn,1.650949331767747
protein,within_syn,1.5336202852644554
protein,within_syn,1.697090537265766
protein,within_syn,1.709733473636483
protein,within_syn,1.1585337069049872
protein,within_syn,1.77366911904825
protein,within_syn,1.7931234557711129
protein,within_syn,1.7343075795206246
protein,within_syn,0.0
protein,within_syn,1.9920237714645022
protein,within_syn,0.9195794291126237
protein,within_syn,1.689757800567123
protein,within_syn,1.262217460045599
protein,within_syn,1.5336202852644554
protein,within_syn,1.7931234557711129
protein,within_syn,1.7343075795206246
protein,within_syn,1.0587590935539821
protein,within_syn,1.1411369034404035
protein,within_syn,1.1795066843429147
protein,within_syn,1.697090537265766
protein,within_syn,1.689757800567123
protein,within_syn,0.9195794291126237
protein,within_syn,1.7150847494326569
protein,within_syn,0.0
protein,within_syn,1.1585337069049872
protein,within_syn,1.5311329687431892
protein,within_syn,1.9920237714645022
protein,within_syn,1.289551669611746
protein,within_syn,1.709733473636483
protein,within_syn,1.77366911904825
protein,within_syn,1.650949331767747
protein,within_syn,1.289551669611746
protein,within_syn,1.5311329687431892
protein,within_syn,1.709733473636483
protein,within_syn,1.6289050919856654
protein,within_syn,1.8341992917249754
protein,within_syn,1.8337906340797592
protein,within_syn,1.806292822990131
protein,within_syn,1.885313769027583
protein,within_syn,1.2160748426957002
protein,within_syn,1.112563769759757
protein,within_syn,1.116220556640469
protein,within_syn,1.8623378307289067
protein,within_syn,1.1815892942715829
protein,within_syn,1.8523636239193648
protein,within_syn,1.27460704711981
protein,within_syn,1.711703642042651
protein,within_syn,0.9266429878486697
protein,within_syn,1.6433592962873695
protein,within_syn,1.8231620135693083
protein,within_syn,1.27460704711981
protein,within_syn,1.1815892942715829
protein,within_syn,1.112563769759757
protein,within_syn,1.8341992917249754
protein,within_syn,1.6433592962873695
protein,within_syn,0.0
protein,within_syn,1.2160748426957002
protein,within_syn,1.711703642042651
protein,within_syn,1.6289050919856654
protein,within_syn,1.8337906340797592
protein,within_syn,1.8231620135693083
protein,within_syn,0.9266429878486697
protein,within_syn,1.8623378307289067
protein,within_syn,1.885313769027583
protein,within_syn,1.8523636239193648
protein,within_syn,1.1795066843429147
protein,within_syn,1.9962863574483771
protein,within_syn,1.116220556640469
protein,within_syn,1.806292822990131
protein,within_syn,1.112563769759757
protein,within_syn,1.6289050919856654
protein,within_syn,1.885313769027583
protein,within_syn,1.8523636239193648
protein,within_syn,1.27460704711981
protein,within_syn,1.1815892942715829
protein,within_syn,0.0
protein,within_syn,1.8337906340797592
protein,within_syn,1.806292822990131
protein,within_syn,1.116220556640469
protein,within_syn,1.8341992917249754
protein,within_syn,1.1795066843429147
protein,within_syn,0.9266429878486697
protein,within_syn,1.6433592962873695
protein,within_syn,1.9962863574483771
protein,within_syn,1.2160748426957002
protein,within_syn,1.8231620135693083
protein,within_syn,1.8623378307289067
protein,within_syn,1.711703642042651
protein,within_syn,1.2160748426957002
protein,within_syn,1.6433592962873695
protein,within_syn,1.8231620135693083
protein,within_syn,1.1554301497401243
protein,within_syn,1.2302660821486011
protein,within_syn,1.0883645438315843
protein,within_syn,1.2356575772075382
protein,within_syn,1.5178024857538202
protein,within_syn,1.489933916885569
protein,within_syn,1.518718142053367
protein,within_syn,1.22123183930565
protein,within_syn,1.2296005285711538
protein,within_syn,1.1769465142803017
protein,within_syn,1.2504829907877444
protein,within_syn,1.0045511872063424
protein,within_syn,1.564905903905174
protein,within_syn,0.8545354250122494
protein,within_syn,1.130393748587948
protein,within_syn,1.2504829907877444
protein,within_syn,1.2296005285711538
protein,within_syn,1.489933916885569
protein,within_syn,1.1554301497401243
protein,within_syn,0.8545354250122494
protein,within_syn,1.6289050919856654
protein,within_syn,1.5178024857538202
protein,within_syn,1.0045511872063424
protein,within_syn,0.0
protein,within_syn,1.2302660821486011
protein,within_syn,1.130393748587948
protein,within_syn,1.564905903905174
protein,within_syn,1.22123183930565
protein,within_syn,1.2356575772075382
protein,within_syn,1.1769465142803017
protein,within_syn,1.5336202852644554
protein,within_syn,1.5128615559617882
protein,within_syn,1.518718142053367
protein,within_syn,1.0883645438315843
protein,within_syn,1.489933916885569
protein,within_syn,0.0
protein,within_syn,1.2356575772075382
protein,within_syn,1.1769465142803017
protein,within_syn,1.2504829907877444
protein,within_syn,1.2296005285711538
protein,within_syn,1.6289050919856654
protein,within_syn,1.2302660821486011
protein,within_syn,1.0883645438315843
protein,within_syn,1.518718142053367
protein,within_syn,1.1554301497401243
protein,within_syn,1.5336202852644554
protein,within_syn,1.564905903905174
protein,within_syn,0.8545354250122494
protein,within_syn,1.5128615559617882
protein,within_syn,1.5178024857538202
protein,within_syn,1.130393748587948
protein,within_syn,1.22123183930565
protein,within_syn,1.0045511872063424
protein,within_syn,1.5178024857538202
protein,within_syn,0.8545354250122494
protein,within_syn,1.130393748587948
protein,within_syn,0.6110421754596066
protein,within_syn,0.4440950356058336
protein,within_syn,0.5971082124431566
protein,within_syn,1.7079557387019821
protein,within_syn,1.7738070612896262
protein,within_syn,1.8028212200131777
protein,within_syn,1.0691512529774314
protein,within_syn,1.5901750109872221
protein,within_syn,1.1443718608570437
protein,within_syn,1.6163760319543374
protein,within_syn,1.1983578193687876
protein,within_syn,1.7894298751901003
protein,within_syn,0.8837594854745068
protein,within_syn,0.4565005006449822
protein,within_syn,1.6163760319543374
protein,within_syn,1.5901750109872221
protein,within_syn,1.7738070612896262
protein,within_syn,0.0
protein,within_syn,0.8837594854745068
protein,within_syn,1.8341992917249754
protein,within_syn,1.7079557387019821
protein,within_syn,1.1983578193687876
protein,within_syn,1.1554301497401243
protein,within_syn,0.6110421754596066
protein,within_syn,0.4565005006449822
protein,within_syn,1.7894298751901003
protein,within_syn,1.0691512529774314
protein,within_syn,0.5971082124431566
protein,within_syn,1.1443718608570437
protein,within_syn,1.7150847494326569
protein,within_syn,1.3286923368171673
protein,within_syn,1.8028212200131777
protein,within_syn,0.4440950356058336
protein,within_syn,1.7738070612896262
protein,within_syn,1.1554301497401243
protein,within_syn,0.5971082124431566
protein,within_syn,1.1443718608570437
protein,within_syn,1.6163760319543374
protein,within_syn,1.5901750109872221
protein,within_syn,1.8341992917249754
protein,within_syn,0.6110421754596066
protein,within_syn,0.4440950356058336
protein,within_syn,1.8028212200131777
protein,within_syn,0.0
protein,within_syn,1.7150847494326569
protein,within_syn,1.7894298751901003
protein,within_syn,0.8837594854745068
protein,within_syn,1.3286923368171673
protein,within_syn,1.7079557387019821
protein,within_syn,0.4565005006449822
protein,within_syn,1.0691512529774314
protein,within_syn,1.1983578193687876
protein,within_syn,1.7079557387019821
protein,within_syn,0.8837594854745068
protein,within_syn,0.4565005006449822
protein,within_syn,0.4939949120879065
protein,within_syn,0.7021059090676132
protein,within_syn,1.7014522279960067
protein,within_syn,1.7884599388360742
protein,within_syn,1.7983239254004229
protein,within_syn,1.3202087549194619
protein,within_syn,1.5950737939417456
protein,within_syn,1.1440456225910438
protein,within_syn,1.6238727381806488
protein,within_syn,1.2675265232657398
protein,within_syn,1.7889255863483404
protein,within_syn,0.9481803676803241
protein,within_syn,0.451056784563214
protein,within_syn,1.6238727381806488
protein,within_syn,1.5950737939417456
protein,within_syn,1.7884599388360742
protein,within_syn,0.6110421754596066
protein,within_syn,0.9481803676803241
protein,within_syn,1.8337906340797592
protein,within_syn,1.7014522279960067
protein,within_syn,1.2675265232657398
protein,within_syn,1.2302660821486011
protein,within_syn,0.0
protein,within_syn,0.451056784563214
protein,within_syn,1.7889255863483404
protein,within_syn,1.3202087549194619
protein,within_syn,0.7021059090676132
protein,within_syn,1.1440456225910438
protein,within_syn,1.697090537265766
protein,within_syn,1.4513752779042406
protein,within_syn,1.7983239254004229
protein,within_syn,0.4939949120879065
protein,within_syn,1.7884599388360742
protein,within_syn,1.2302660821486011
protein,within_syn,0.7021059090676132
protein,within_syn,1.1440456225910438
protein,within_syn,1.6238727381806488
protein,within_syn,1.5950737939417456
protein,within_syn,1.8337906340797592
protein,within_syn,0.0
protein,within_syn,0.4939949120879065
protein,within_syn,1.7983239254004229
protein,within_syn,0.6110421754596066
protein,within_syn,1.697090537265766
protein,within_syn,1.7889255863483404
protein,within_syn,0.9481803676803241
protein,within_syn,1.4513752779042406
protein,within_syn,1.7014522279960067
protein,within_syn,0.451056784563214
protein,within_syn,1.3202087549194619
protein,within_syn,1.2675265232657398
protein,within_syn,1.7014522279960067
protein,within_syn,0.9481803676803241
protein,within_syn,0.451056784563214
protein,within_syn,0.6220414157338853
