pilot_n,strength,eval_n,true_omega2,power
10,0.8,10,0.049128821121411,0.25
10,0.8,17,0.049128821121411,0.75
10,0.8,30,0.049128821121411,1.0
10,0.8,50,0.049128821121411,1.0
10,0.8,80,0.049128821121411,1.0
10,0.9,10,0.06355353858231615,0.75
10,0.9,17,0.06355353858231615,1.0
10,0.9,30,0.06355353858231615,1.0
10,0.9,50,0.06355353858231615,1.0
10,0.9,80,0.06355353858231615,1.0
10,1.0,10,0.08729100339215613,0.85
10,1.0,17,0.08729100339215613,1.0
10,1.0,30,0.08729100339215613,1.0
10,1.0,50,0.08729100339215613,1.0
10,1.0,80,0.08729100339215613,1.0
19,0.0,10,0.0,0.025
19,0.0,17,0.0,0.0
19,0.0,30,0.0,0.025
19,0.0,50,0.0,0.025
19,0.0,80,0.0,0.05
19,0.1,10,0.0006067033023519877,0.05
19,0.1,17,0.0006067033023519877,0.075
19,0.1,30,0.0006067033023519877,0.025
19,0.1,50,0.0006067033023519877,0.125
19,0.1,80,0.0006067033023519877,0.125
19,0.2,10,0.0027155393925116906,0.05
19,0.2,17,0.0027155393925116906,0.05
19,0.2,30,0.0027155393925116906,0.075
19,0.2,50,0.0027155393925116906,0.125
19,0.2,80,0.0027155393925116906,0.325
19,0.3,10,0.008680728217192958,0.075
19,0.3,17,0.008680728217192958,0.05
19,0.3,30,0.008680728217192958,0.325
19,0.3,50,0.008680728217192958,0.4
19,0.3,80,0.008680728217192958,0.725
19,0.4,10,0.019661340025647518,0.15
19,0.4,17,0.019661340025647518,0.475
19,0.4,30,0.019661340025647518,0.5
19,0.4,50,0.019661340025647518,0.875
19,0.4,80,0.019661340025647518,0.975
19,0.5,10,0.02661163766192243,0.275
19,0.5,17,0.02661163766192243,0.225
19,0.5,30,0.02661163766192243,0.775
19,0.5,50,0.02661163766192243,0.95
19,0.5,80,0.02661163766192243,1.0
19,0.6,10,0.033527075317340956,0.275
19,0.6,17,0.033527075317340956,0.575
19,0.6,30,0.033527075317340956,0.9
19,0.6,50,0.033527075317340956,1.0
19,0.6,80,0.033527075317340956,1.0
19,0.7,10,0.054451755628762456,0.625
19,0.7,17,0.054451755628762456,0.8
19,0.7,30,0.054451755628762456,1.0
19,0.7,50,0.054451755628762456,1.0
19,0.7,80,0.054451755628762456,1.0
19,0.8,10,0.05555828828406374,0.475
19,0.8,17,0.05555828828406374,0.85
19,0.8,30,0.05555828828406374,1.0
19,0.8,50,0.05555828828406374,1.0
19,0.8,80,0.05555828828406374,1.0
19,0.9,10,0.07282449938617383,0.675
19,0.9,17,0.07282449938617383,0.975
19,0.9,30,0.07282449938617383,1.0
19,0.9,50,0.07282449938617383,1.0
19,0.9,80,0.07282449938617383,1.0
19,1.0,10,0.08988432490740189,0.85
19,1.0,17,0.08988432490740189,1.0
19,1.0,30,0.08988432490740189,1.0
19,1.0,50,0.08988432490740189,1.0
19,1.0,80,0.08988432490740189,1.0
