modality,panel,pilot,eval_n,true_omega2,power
gene,b,10,50,0.048171028149787874,0.86
gene,b,10,50,0.10117400381861258,0.988
gene,b,10,50,0.15944925162172155,1.0
gene,b,10,50,0.23630539685267685,1.0
gene,b,10,50,0.29521620322438885,1.0
gene,b,10,50,0.35383635537381974,1.0
gene,b,10,50,0.412003810134804,1.0
gene,b,10,50,0.4029587098964725,1.0
gene,b,10,50,0.4437540922809334,1.0
gene,b,10,80,0.00023217664502878893,0.096
gene,b,10,80,0.009661910105648675,0.388
gene,b,10,80,0.048171028149787874,0.944
gene,b,10,80,0.10117400381861258,1.0
gene,b,10,80,0.15944925162172155,1.0
gene,b,10,80,0.23630539685267685,1.0
gene,b,10,80,0.29521620322438885,1.0
gene,b,10,80,0.35383635537381974,1.0
gene,b,10,80,0.412003810134804,1.0
gene,b,10,80,0.4029587098964725,1.0
gene,b,10,80,0.4437540922809334,1.0
gene,c,4,80,0.0,0.032
gene,c,4,80,0.009107914295924063,0.38
gene,c,4,80,0.03649906691367918,0.92
gene,c,4,80,0.09064580290247529,0.996
gene,c,4,80,0.17234302860215073,1.0
gene,c,4,80,0.2572274610786912,1.0
gene,c,4,80,0.33683138119605055,1.0
gene,c,4,80,0.3978604803796418,1.0
gene,c,4,80,0.4909211247737776,1.0
gene,c,4,80,0.4917075183169643,1.0
gene,c,4,80,0.49260107692082533,1.0
gene,c,7,80,0.0,0.06
gene,c,7,80,0.020086581299185106,0.652
gene,c,7,80,0.05040851560241758,0.98
gene,c,7,80,0.09931022051214944,1.0
gene,c,7,80,0.16657335602025694,1.0
gene,c,7,80,0.247052291306643,1.0
gene,c,7,80,0.34128708522809925,1.0
gene,c,7,80,0.4287035765499923,1.0
gene,c,7,80,0.4728197813021453,1.0
gene,c,7,80,0.47588837518423593,1.0
gene,c,7,80,0.47437525156623844,1.0
gene,c,10,80,0.0013369585243007943,0.12
gene,c,10,80,0.007985422024377143,0.332
gene,c,10,80,0.04650156588085623,0.956
gene,c,10,80,0.10165796485512021,1.0
gene,c,10,80,0.1972034126580853,1.0
gene,c,10,80,0.24488413693429395,1.0
gene,c,10,80,0.31214888956844705,1.0
gene,c,10,80,0.3507277472471982,1.0
gene,c,10,80,0.4199845089516044,1.0
gene,c,10,80,0.41344255258933216,1.0
gene,c,10,80,0.45167057644520214,1.0
