pilot_n,pilot_source,scale,true_omega2,power,mode,k_axes,center_shrinkage,pilot_target_omega2
10,real,0.11935477556564632,0.008882219159469453,0.2,dilution,3,0.9109844203872326,0.3718089690749358
10,real,0.14629478344131797,0.010798162681095132,0.35,dilution,3,0.9109844203872326,0.3718089690749358
10,real,0.15051105400966694,0.01462999008636887,0.25,dilution,3,0.9109844203872326,0.3718089690749358
10,real,0.20988202678025544,0.02728740948583981,0.85,dilution,3,0.9109844203872326,0.3718089690749358
10,real,0.21409829734860442,0.026279520486265404,0.65,dilution,3,0.9109844203872326,0.3718089690749358
10,real,0.2183145679169534,0.0316552136733307,0.75,dilution,3,0.9109844203872326,0.3718089690749358
10,real,0.27047865959978257,0.04375931516603931,1.0,dilution,3,0.9109844203872326,0.3718089690749358
10,real,0.43020667717746824,0.10798476079150972,1.0,dilution,3,0.9109844203872326,0.3718089690749358
30,simulated,0.0,0.0,0.05,dilution,3,0.9722760998252586,0.42465869596039324
30,simulated,0.05271133982918555,0.0015958882875737846,0.05,dilution,3,0.9722760998252586,0.42465869596039324
30,simulated,0.05863705907795674,0.0035891362094873642,0.0,dilution,3,0.9722760998252586,0.42465869596039324
30,simulated,0.11624056247298827,0.011248384532830473,0.25,dilution,3,0.9722760998252586,0.42465869596039324
30,simulated,0.12216628172175946,0.010620203788914553,0.0,dilution,3,0.9722760998252586,0.42465869596039324
30,simulated,0.12809200097053064,0.013787839775530225,0.3,dilution,3,0.9722760998252586,0.42465869596039324
30,simulated,0.13401772021930183,0.01320305547489707,0.25,dilution,3,0.9722760998252586,0.42465869596039324
30,simulated,0.16908970972656384,0.021241867694775318,0.45,dilution,3,0.9722760998252586,0.42465869596039324
30,simulated,0.17304018922574466,0.019212233901139398,0.5,dilution,3,0.9722760998252586,0.42465869596039324
30,simulated,0.2002341876387101,0.028153781918900563,0.85,dilution,3,0.9722760998252586,0.42465869596039324
30,simulated,0.22242118296550453,0.03169129920731576,0.9,dilution,3,0.9722760998252586,0.42465869596039324
30,simulated,0.4030867163408307,0.10720030642077305,1.0,dilution,3,0.9722760998252586,0.42465869596039324
50,simulated,0.0,2.001348736788475e-05,0.1,dilution,3,0.983559028175888,0.4340882723657151
50,simulated,0.009646234819003218,0.0,0.0,dilution,3,0.983559028175888,0.4340882723657151
50,simulated,0.09924903824885534,0.006709205087723575,0.2,dilution,3,0.983559028175888,0.4340882723657151
50,simulated,0.13258213856785536,0.013017942195257778,0.35,dilution,3,0.983559028175888,0.4340882723657151
50,simulated,0.1392273225542798,0.014207070823825763,0.4,dilution,3,0.983559028175888,0.4340882723657151
50,simulated,0.14383607919002578,0.01579295739333224,0.35,dilution,3,0.983559028175888,0.4340882723657151
50,simulated,0.17130998502637199,0.020745506416595737,0.35,dilution,3,0.983559028175888,0.4340882723657151
50,simulated,0.17438248945020263,0.023432888733001325,0.45,dilution,3,0.983559028175888,0.4340882723657151
50,simulated,0.1854935228898693,0.027146531983391085,0.6,dilution,3,0.983559028175888,0.4340882723657151
50,simulated,0.18856602731369995,0.023925949789750562,0.7,dilution,3,0.983559028175888,0.4340882723657151
50,simulated,0.19163853173753062,0.02700776673974737,0.6,dilution,3,0.983559028175888,0.4340882723657151
50,simulated,0.3135026316176046,0.06930027325942618,1.0,dilution,3,0.983559028175888,0.4340882723657151
80,simulated,0.0,0.0,0.0,dilution,3,0.9896919284725824,0.43319722615403894
80,simulated,0.012184415688598889,0.0001137485731682033,0.0,dilution,3,0.9896919284725824,0.43319722615403894
80,simulated,0.07459570049353319,0.0046015755268390655,0.0,dilution,3,0.9896919284725824,0.43319722615403894
80,simulated,0.12351387310998206,0.0117051656983402,0.3,dilution,3,0.9896919284725824,0.43319722615403894
80,simulated,0.1273948351441284,0.012699254292808746,0.2,dilution,3,0.9896919284725824,0.43319722615403894
80,simulated,0.13127579717827467,0.012967548898766623,0.2,dilution,3,0.9896919284725824,0.43319722615403894
80,simulated,0.16561779843391825,0.021666331145739074,0.45,dilution,3,0.9896919284725824,0.43319722615403894
80,simulated,0.16949876046806456,0.021638648292325133,0.4,dilution,3,0.9896919284725824,0.43319722615403894
80,simulated,0.1952214158106622,0.029588586082208383,0.8,dilution,3,0.9896919284725824,0.43319722615403894
80,simulated,0.2170179816536002,0.034547143599345166,0.95,dilution,3,0.9896919284725824,0.43319722615403894
80,simulated,0.2489682272370373,0.043750032282162524,0.95,dilution,3,0.9896919284725824,0.43319722615403894
80,simulated,0.3959935098794639,0.10482111389994335,1.0,dilution,3,0.9896919284725824,0.43319722615403894
