modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,4,14,0.82,1.0,0.14345309687624988,1.0,80
gene,4,14,0.88,1.0,0.29670428781933805,1.0,80
gene,4,14,0.93,1.0,0.3114019009299404,1.0,80
gene,4,14,0.97,1.0,0.37239429309855065,1.0,80
gene,4,14,1.0,1.0,0.4440542088393496,1.0,80
gene,4,14,1.0,1.3,0.45523123173724406,1.0,80
gene,4,14,1.0,1.7,0.4333608334641502,1.0,80
gene,4,15,0.5,1.0,0.0,0.125,80
gene,4,15,0.6,1.0,0.02221267787713335,0.825,80
gene,4,15,0.68,1.0,0.07651695160282021,1.0,80
gene,4,15,0.75,1.0,0.09402039960765753,1.0,80
gene,4,15,0.82,1.0,0.1313403284615132,1.0,80
gene,4,15,0.88,1.0,0.2539069724872848,1.0,80
gene,4,15,0.93,1.0,0.21581845847694883,1.0,80
gene,4,15,0.97,1.0,0.37214694387467506,1.0,80
gene,4,15,1.0,1.0,0.46490875785057206,1.0,80
gene,4,15,1.0,1.3,0.3558251332306062,1.0,80
gene,4,15,1.0,1.7,0.3186301867296052,1.0,80
gene,4,16,0.5,1.0,0.0,0.1,80
gene,4,16,0.6,1.0,0.01998459798846264,0.8,80
gene,4,16,0.68,1.0,0.07172322507044111,1.0,80
gene,4,16,0.75,1.0,0.06427932328688725,1.0,80
gene,4,16,0.82,1.0,0.12413600007664367,1.0,80
gene,4,16,0.88,1.0,0.27002184223751824,1.0,80
gene,4,16,0.93,1.0,0.3048526014369477,1.0,80
gene,4,16,0.97,1.0,0.35913718881858286,1.0,80
gene,4,16,1.0,1.0,0.4456789910737032,1.0,80
gene,4,16,1.0,1.3,0.4162332331947221,1.0,80
gene,4,16,1.0,1.7,0.4570562095480576,1.0,80
gene,4,17,0.5,1.0,0.0,0.075,80
gene,4,17,0.6,1.0,0.029779795519428755,0.925,80
gene,4,17,0.68,1.0,0.09086387833864117,1.0,80
gene,4,17,0.75,1.0,0.08628377949399853,1.0,80
gene,4,17,0.82,1.0,0.1564315974311862,1.0,80
gene,4,17,0.88,1.0,0.28093529707876425,1.0,80
gene,4,17,0.93,1.0,0.30474446172002645,1.0,80
gene,4,17,0.97,1.0,0.3922806139100107,1.0,80
gene,4,17,1.0,1.0,0.44982184143042525,1.0,80
gene,4,17,1.0,1.3,0.4585353726439913,1.0,80
gene,4,17,1.0,1.7,0.47835652473524476,1.0,80
gene,4,18,0.5,1.0,0.0022931057838841153,0.2,80
gene,4,18,0.6,1.0,0.012464978184332244,0.55,80
gene,4,18,0.68,1.0,0.0301998257836191,0.85,80
gene,4,18,0.75,1.0,0.07952773153424572,1.0,80
gene,4,18,0.82,1.0,0.09064360604639113,1.0,80
gene,4,18,0.88,1.0,0.1572910830900189,1.0,80
gene,4,18,0.93,1.0,0.1311528450483909,1.0,80
gene,4,18,0.97,1.0,0.22796689396853992,1.0,80
gene,4,18,1.0,1.0,0.24911045469217963,1.0,80
gene,4,18,1.0,1.3,0.37105597731574264,1.0,80
gene,4,18,1.0,1.7,0.39627422623013225,1.0,80
gene,4,19,0.5,1.0,0.0020575767684272,0.275,80
gene,4,19,0.6,1.0,0.01538852261279664,0.7,80
gene,4,19,0.68,1.0,0.08027813177323061,1.0,80
gene,4,19,0.75,1.0,0.08099782328237345,1.0,80
gene,4,19,0.82,1.0,0.13550799572362426,1.0,80
gene,4,19,0.88,1.0,0.21003285522838833,1.0,80
gene,4,19,0.93,1.0,0.27410710569455005,1.0,80
gene,4,19,0.97,1.0,0.3383831764854732,1.0,80
gene,4,19,1.0,1.0,0.32178664394811596,1.0,80
gene,4,19,1.0,1.3,0.3381512274893753,1.0,80
gene,4,19,1.0,1.7,0.35847199601476937,1.0,80
