pilot_n,pilot_source,strength,eval_n,true_omega2,power,mode,scenario_index,pool_size_per_group,failed_bootstraps,n_per_group,search_stage
19,real,0.3624,31,0.03920517516771225,0.88,labeled_bootstrap,6,180,0,31,fine
19,real,0.3691,31,0.03536296032273986,0.86,labeled_bootstrap,7,180,0,31,fine
19,real,0.3756,31,0.024068102004024094,0.74,labeled_bootstrap,8,180,0,31,fine
19,real,0.3889,31,0.028278150661504024,0.78,labeled_bootstrap,9,180,0,31,fine
19,real,0.4021,31,0.04764834988005957,0.95,labeled_bootstrap,10,180,0,31,fine
19,real,0.4153,31,0.04015614574194104,0.91,labeled_bootstrap,11,180,0,31,fine
19,real,0.4286,31,0.04878867326534801,0.96,labeled_bootstrap,12,180,0,31,fine
19,real,0.5714,31,0.06770953298563206,0.99,labeled_bootstrap,13,180,0,31,fine
19,real,0.7143,31,0.10950827452724614,1.0,labeled_bootstrap,14,180,0,31,fine
19,real,0.8571,31,0.17213350971894487,1.0,labeled_bootstrap,15,180,0,31,fine
19,real,1.0,31,0.22525543695778244,1.0,labeled_bootstrap,16,180,0,31,fine
19,real,0.0,32,0.0,0.02,exchangeable_null,0,180,0,32,plot_context
19,real,0.154,32,0.009739118562315604,0.4,labeled_bootstrap,1,180,0,32,plot_context
19,real,0.1873,32,0.006906809021771728,0.27,labeled_bootstrap,2,180,0,32,plot_context
19,real,0.2636,32,0.022992013862510385,0.75,labeled_bootstrap,3,180,0,32,plot_context
19,real,0.3117,32,0.018410237412977325,0.61,labeled_bootstrap,4,180,0,32,plot_context
19,real,0.3401,32,0.027980633695437403,0.8,labeled_bootstrap,5,180,0,32,plot_context
19,real,0.3624,32,0.03920517516771225,0.91,labeled_bootstrap,6,180,0,32,plot_context
19,real,0.3691,32,0.03536296032273986,0.86,labeled_bootstrap,7,180,0,32,plot_context
19,real,0.3756,32,0.024068102004024094,0.79,labeled_bootstrap,8,180,0,32,plot_context
19,real,0.3889,32,0.028278150661504024,0.84,labeled_bootstrap,9,180,0,32,plot_context
19,real,0.4021,32,0.04764834988005957,0.95,labeled_bootstrap,10,180,0,32,plot_context
19,real,0.4153,32,0.04015614574194104,0.94,labeled_bootstrap,11,180,0,32,plot_context
19,real,0.4286,32,0.04878867326534801,0.96,labeled_bootstrap,12,180,0,32,plot_context
19,real,0.5714,32,0.06770953298563206,0.99,labeled_bootstrap,13,180,0,32,plot_context
19,real,0.7143,32,0.10950827452724614,1.0,labeled_bootstrap,14,180,0,32,plot_context
19,real,0.8571,32,0.17213350971894487,1.0,labeled_bootstrap,15,180,0,32,plot_context
19,real,1.0,32,0.22525543695778244,1.0,labeled_bootstrap,16,180,0,32,plot_context
